[info]
Anlage=Maris Kalogerakis Sitanos
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
04:40:00;300;3;;;;;;;;;
04:40:00;300;4;;;;;;;;;
04:40:00;300;5;;;;;;;;;
04:40:00;300;6;;;;;;;;;
04:40:00;300;7;;;;;;;;;
04:40:00;300;8;;;;;;;;;
04:40:00;300;9;;;;;;;;;
04:40:00;300;10;;;;;;;;;
04:40:00;300;11;;;;;;;;;
04:40:00;300;12;;;;;;;;;
04:45:00;300;1;;;;;;;;;
04:45:00;300;2;;;;;;;;;
04:45:00;300;3;;;;;;;;;
04:45:00;300;4;;;;;;;;;
04:45:00;300;5;;;;;;;;;
04:45:00;300;6;;;;;;;;;
04:45:00;300;7;;;;;;;;;
04:45:00;300;8;;;;;;;;;
04:45:00;300;9;;;;;;;;;
04:45:00;300;10;;;;;;;;;
04:45:00;300;11;;;;;;;;;
04:45:00;300;12;;;;;;;;;
04:50:00;300;1;;;;;;;;;
04:50:00;300;2;;;;;;;;;
04:50:00;300;3;;;;;;;;;
04:50:00;300;4;;;;;;;;;
04:50:00;300;5;;;;;;;;;
04:50:00;300;6;;;;;;;;;
04:50:00;300;7;;;;;;;;;
04:50:00;300;8;;;;;;;;;
04:50:00;300;9;;;;;;;;;
04:50:00;300;10;;;;;;;;;
